Fecha,Planta,Tratamiento,Altura planta (cm),Diametro tallo (mm),Clorofila (SPAD),Numero flores ,Numero frutos,Numero frutos cosechados ,Peso frutos cosechados (Kg),Perímetro (mm),Tamanno altura (mm),Frutos de 2da,pH_savia,K_savia (ppm),Ca_savia (ppm),Na_savia (ppm),NO3_savia (ppm),Conductividad_savia (mS/cm),Fosforo_savia (ppm),pH_suelo_Horiba,K_suelo_Horiba (ppm),Ca_suelo_Horiba (ppm),Na_suelo_Horiba (ppm),NO3_suelo_Horiba (ppm),Conductividad_suelo_Horiba (mS/cm),Fosforo_suelo_Hanna (ppm),Tamanno cintura (mm),7in1_Nitrogen[mg/kg],7in1_Phosphorus[mg/kg],7in1_Potasium[mg/kg],7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],7in1_Conductivity[uS/cm],Pynamometer_Radiation[W/m^2],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],RGB_capture,Tapo_capture,Parrot_capture,Tratamiento iniciado,7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],Cultivo,Laboratorio,Posicion_x,Posicion_y,x,y
2024-07-30,82,T17_N1P2K1,20.0,,36.9,,,,,,,,,,,,,,,7.4,280.0,,52.0,,2.02,,,41.0,58.0,117,6.41,21.2,34.1,695.0,81.6,32.3,47.8,1.0,1.0,5.0,Si,0.695,816.0,Tomatoes,Quindio,7.6,7.2,7.6,7.2
2024-07-30,87,T11_N1P1K0,17.5,,34.4,,,,,,,,,,,,,,,7.5,51.0,,7.0,,0.703,,,39.0,55.0,110,6.39,20.6,34.1,552.0,75.9,32.3,45.6,1.0,1.0,5.0,Si,0.552,759.0,Tomatoes,Quindio,7.6,8.4,7.6,8.4
2024-07-30,90,T8_N0P2K1,14.0,,37.2,,,,,,,,,,,,,,,7.4,160.0,,29.0,,1.218,,,,,,,,,,,,,,,,,,,Tomate ,Quindío,5.4,8.4,5.4,8.4
2024-08-06,2,T27_N2P2K2,24.0,,44.7,,,,,,,,,,,,,,,6.7,63.0,,14.0,450.0,1.43,,,,,,,,,,,,,,,,,,,Tomate ,Quindío,1.5,0.0,1.5,0.0
2024-08-06,5,T24_N2P1K1,27.0,,45.1,,,,,,,,,,,,,,,6.8,41.0,,6.0,340.0,1.117,,,5.0,7.0,14,6.29,19.2,23.9,73.0,16.9,22.5,84.9,1.0,1.0,5.0,Si,0.073,169.0,Tomatoes,Quindio,3.7,0.0,3.7,0.0
2024-08-06,8,T4_N0P0K1,26.0,,41.8,,,,,,,,,,,,,,,6.9,170.0,,93.0,440.0,1.81,,,0.0,0.0,0,6.34,13.7,23.9,0.0,38.9,23.3,81.3,1.0,1.0,5.0,Si,0.0,389.0,Tomatoes,Quindio,5.9,0.0,5.9,0.0
2024-08-06,11,T15_N1P1K1,24.5,,46.4,,,,,,,,,,,,,,,6.6,74.0,,32.0,290.0,1.217,,,0.0,0.0,1,6.36,19.2,24.3,8.0,41.1,23.8,78.2,1.0,1.0,5.0,Si,0.008,411.0,Tomatoes,Quindio,8.1,0.0,8.1,0.0
2024-08-06,14,T9_N0P2K2,23.5,,45.0,,,,,,,,,,,,,,,7.0,120.0,,40.0,380.0,1.313,,,0.0,0.0,1,6.31,19.1,26.3,9.0,54.6,24.6,76.6,1.0,1.0,5.0,Si,0.009,546.0,Tomatoes,Quindio,8.1,1.2,8.1,1.2
2024-08-06,17,T13_N1P0K1,23.0,,42.3,,,,,,,,,,,,,,,6.5,85.0,,36.0,430.0,1.39,,,3.0,5.0,10,6.49,23.1,26.7,52.0,55.1,25.5,73.0,1.0,1.0,5.0,Si,0.052,551.0,Tomatoes,Quindio,5.9,1.2,5.9,1.2
2024-08-06,20,T22_N2P0K1,24.0,,45.1,,,,,,,,,,,,,,,6.8,59.0,,28.0,380.0,1.04,,,1.0,2.0,4,6.54,23.1,27.1,23.0,33.2,26.1,69.6,1.0,1.0,5.0,Si,0.023,332.0,Tomatoes,Quindio,3.7,1.2,3.7,1.2
2024-08-06,23,T10_N1P0K0,24.0,,43.9,,,,,,,,,,,,,,,7.0,10.0,,6.0,68.0,0.16,,,3.0,5.0,11,6.42,21.0,26.7,55.0,17.6,26.4,67.9,1.0,1.0,5.0,Si,0.055,176.0,Tomatoes,Quindio,1.5,1.2,1.5,1.2
2024-08-06,26,T28_BIO-N0P0K0,21.0,,40.1,,,,,,,,,,,,,,,6.7,41.0,,11.0,410.0,1.06,,,23.0,33.0,65,6.46,13.4,26.7,328.0,31.1,26.4,68.9,1.0,1.0,5.0,Si,0.328,311.0,Tomatoes,Quindio,1.5,2.4,1.5,2.4
2024-08-06,29,T12_N1P2K0,21.0,,47.9,,,,,,,,,,,,,,,6.6,53.0,,18.0,530.0,1.21,,,7.0,10.0,20,6.33,21.9,26.3,104.0,28.5,26.4,66.3,1.0,1.0,5.0,Si,0.104,285.0,Tomatoes,Quindio,3.7,2.4,3.7,2.4
2024-08-06,32,T26_N2P2K1,25.0,,43.2,,,,,,,,,,,,,,,7.0,160.0,,88.0,280.0,1.43,,,3.0,5.0,10,6.57,17.4,26.3,53.0,25.3,26.3,66.6,1.0,1.0,5.0,Si,0.053,253.0,Tomatoes,Quindio,5.9,2.4,5.9,2.4
2024-08-06,35,T16_N1P1K2,23.0,,46.5,,,,,,,,,,,,,,,6.7,11.0,,5.0,410.0,0.64,,,0.0,0.0,1,6.54,20.1,26.7,8.0,23.9,26.2,67.6,1.0,1.0,5.0,Si,0.008,239.0,Tomatoes,Quindio,8.1,2.4,8.1,2.4
2024-08-06,38,T1_N0P0K0,19.5,,42.5,,,,,,,,,,,,,,,6.7,47.0,,16.0,310.0,0.83,,,2.0,3.0,7,6.47,20.3,26.7,38.0,21.4,26.0,68.8,1.0,1.0,5.0,Si,0.038,214.0,Tomatoes,Quindio,8.1,3.6,8.1,3.6
2024-08-06,41,T14_N1P0K2,21.0,,45.8,,,,,,,,,,,,,,,6.9,47.0,,20.0,330.0,1.14,,,5.0,7.0,14,6.41,21.1,26.7,75.0,23.8,25.8,69.0,1.0,1.0,5.0,Si,0.075,238.0,Tomatoes,Quindio,5.9,3.6,5.9,3.6
2024-08-06,44,T7_N0P1K2,21.5,,41.5,,,,,,,,,,,,,,,6.9,37.0,,13.0,160.0,0.61,,,28.0,39.0,78,6.35,14.6,26.3,392.0,17.5,25.6,68.3,1.0,1.0,5.0,Si,0.392,175.0,Tomatoes,Quindio,3.7,3.6,3.7,3.6
2024-08-06,47,T3_N0P2K0,22.0,,41.7,,,,,,,,,,,,,,,6.6,8.0,,5.0,370.0,0.62,,,18.0,26.0,52,6.39,14.5,26.3,263.0,18.5,25.4,68.8,1.0,1.0,5.0,Si,0.263,185.0,Tomatoes,Quindio,1.5,3.6,1.5,3.6
2024-08-06,50,T23_N2P0K2,16.5,,42.2,,,,,,,,,,,,,,,7.0,43.0,,12.0,250.0,0.46,,,39.0,55.0,111,6.36,15.8,25.9,556.0,16.1,25.4,69.2,1.0,1.0,5.0,Si,0.556,161.0,Tomatoes,Quindio,1.5,4.8,1.5,4.8
2024-08-06,53,T21_N2P2K0,20.5,,43.4,,,,,,,,,,,,,,,6.6,60.0,,21.0,540.0,1.44,,,24.0,33.0,68,6.4,17.8,25.9,338.0,19.2,25.2,68.7,1.0,1.0,5.0,Si,0.338,192.0,Tomatoes,Quindio,3.7,4.8,3.7,4.8
2024-08-06,56,T5_N0P0K2,17.0,,37.2,,,,,,,,,,,,,,,7.1,4.0,,2.0,22.0,0.067,,,6.0,9.0,18,6.46,23.3,25.9,92.0,25.4,25.1,70.1,1.0,1.0,5.0,Si,0.092,254.0,Tomatoes,Quindio,5.9,4.8,5.9,4.8
2024-08-06,59,T30_BIO N2P2K2,15.5,,36.6,,,,,,,,,,,,,,,6.7,130.0,,20.0,740.0,2.01,,,40.0,57.0,114,6.49,14.9,26.3,575.0,27.4,25.0,68.1,1.0,1.0,5.0,Si,0.575,274.0,Tomatoes,Quindio,8.1,4.8,8.1,4.8
2024-08-06,62,T20_N2P1K0,21.5,,44.0,,,,,,,,,,,,,,,6.5,43.0,,21.0,540.0,0.94,,,24.0,34.0,69,6.44,19.0,26.3,350.0,28.3,25.0,71.0,1.0,1.0,5.0,Si,0.35,283.0,Tomatoes,Quindio,8.1,6.0,8.1,6.0
2024-08-06,65,T18_N1P2K2,21.0,,43.7,,,,,,,,,,,,,,,6.4,14.0,,6.0,150.0,0.34,,,21.0,29.0,59,6.38,16.2,26.3,299.0,51.3,25.1,69.4,1.0,1.0,5.0,Si,0.299,513.0,Tomatoes,Quindio,5.9,6.0,5.9,6.0
2024-08-06,68,T29_BIO N1P1K1,24.0,,45.4,,,,,,,,,,,,,,,7.0,34.0,,19.0,110.0,0.46,,,27.0,38.0,77,6.41,14.6,27.5,388.0,59.9,25.6,69.7,1.0,1.0,5.0,Si,0.388,599.0,Tomatoes,Quindio,3.7,6.0,3.7,6.0
2024-08-06,71,T25_N2P1K2,21.0,,41.5,,,,,,,,,,,,,,,6.6,31.0,,10.0,190.0,0.67,,,22.0,32.0,63,6.31,19.3,27.5,322.0,62.0,26.5,68.1,1.0,1.0,5.0,Si,0.322,620.0,Tomatoes,Quindio,1.5,6.0,1.5,6.0
2024-08-06,74,T19_N2P0K0,23.0,,37.8,,,,,,,,,,,,,,,6.5,49.0,,2.0,34.0,0.089,,,69.0,94.0,190,6.31,14.0,27.9,974.0,29.0,27.1,66.6,1.0,1.0,5.0,Si,0.974,290.0,Tomatoes,Quindio,1.5,7.2,1.5,7.2
2024-08-06,77,T2_N0P1K0,24.0,,39.3,,,,,,,,,,,,,,,6.7,670.0,,10.0,650.0,1.36,,,23.0,32.0,65,6.37,16.5,28.3,332.0,19.9,27.2,62.4,1.0,1.0,5.0,Si,0.332,199.0,Tomatoes,Quindio,3.7,7.2,3.7,7.2
2024-08-06,80,T6_N0P1K1,25.0,,38.6,,,,,,,,,,,,,,,6.6,2200.0,,26.0,666.0,1.38,,,19.0,27.0,55,6.43,19.5,28.3,278.0,19.9,27.1,64.6,1.0,1.0,5.0,Si,0.278,199.0,Tomatoes,Quindio,5.9,7.2,5.9,7.2
2024-08-06,83,T17_N1P2K1,22.0,,41.7,,,,,,,,,,,,,,,7.2,2800.0,,40.0,620.0,1.51,,,38.0,53.0,107,6.45,15.2,27.9,537.0,24.3,26.8,61.3,1.0,1.0,5.0,Si,0.537,243.0,Tomatoes,Quindio,8.1,7.2,8.1,7.2
2024-08-06,86,T11_N1P1K0,28.0,,37.0,,,,,,,,,,,,,,,7.3,3400.0,,59.0,786.0,1.95,,,24.0,34.0,69,6.44,20.1,27.5,348.0,28.2,26.0,67.8,1.0,1.0,5.0,Si,0.348,282.0,Tomatoes,Quindio,8.1,8.4,8.1,8.4
2024-08-06,89,T8_N0P2K1,30.0,,42.1,,,,,,,,,,,,,,,7.1,1700.0,,29.0,720.0,1.77,,,20.0,29.0,58,6.45,16.2,27.5,293.0,30.7,26.0,64.9,1.0,1.0,5.0,Si,0.293,307.0,Tomatoes,Quindio,5.9,8.4,5.9,8.4
2024-08-06,92,T9_N0P2K2,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,34.0,68,6.39,17.0,27.5,343.0,29.7,26.0,67.3,1.0,1.0,5.0,Si,0.343,297.0,Tomatoes,Quindio,3.7,8.4,3.7,8.4
2024-08-06,95,T13_N1P0K1,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,27.0,54,6.34,15.4,27.5,271.0,59.0,26.1,63.3,1.0,1.0,5.0,Si,0.271,590.0,Tomatoes,Quindio,1.5,8.4,1.5,8.4
2024-08-06,98,T26_N2P2K1,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,54.0,108,6.44,22.5,27.5,544.0,32.9,26.3,66.7,1.0,1.0,5.0,Si,0.544,329.0,Tomatoes,Quindio,1.5,9.6,1.5,9.6
2024-08-06,101,T16_N1P1K2,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,20.0,39,6.43,22.5,27.9,201.0,33.6,26.4,62.6,1.0,1.0,5.0,Si,0.201,336.0,Tomatoes,Quindio,3.7,9.6,3.7,9.6
2024-08-06,104,T10_N1P0K0,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,38.0,76,6.54,17.0,28.3,383.0,26.3,26.6,65.7,1.0,1.0,5.0,Si,0.383,263.0,Tomatoes,Quindio,5.9,9.6,5.9,9.6
